Star1,Star2,Avg_Gross
Emily Blunt,Josh Brolin,46889293.0
Emily Watson,Stellan Skarsgård,4040691.0
Emma Stone,Viola Davis,169708112.0
Emma Thompson,Kate Winslet,43182776.0
Ernest B. Schoedsack,Fay Wray,10000000.0
Ethan Coen,Gabriel Byrne,5080409.0
Ethan Coen,George Clooney,45512588.0
Ethan Coen,Jeff Bridges,17498804.0
Ethan Coen,John Getz,2150000.0
Ethan Coen,John Turturro,6153939.0
Ethan Coen,William H. Macy,24611975.0
Ethan Hawke,Julie Delpy,6490227.0
Ethan Hawke,Trevor Jack Brooks,2892011.0
Ethan Hawke,Uma Thurman,12339633.0
Ewan McGregor,Albert Finney,66257002.0
Ewan McGregor,Ewen Bremner,16501785.0
F. Murray Abraham,Tom Hulce,51973029.0
Farley Granger,Robert Walker,7630000.0
Felicity Jones,Diego Luna,532177324.0
Ferdia Walsh-Peelo,Aidan Gillen,3237118.0
Fernanda Montenegro,Vinícius de Oliveira,5595428.0
Fernando Rey,Delphine Seyrig,198809.0
Fionn Whitehead,Barry Keoghan,188373161.0
Frances McDormand,Woody Harrelson,54513740.0
Frank Langella,Michael Sheen,18593156.0
Franka Potente,Matt Damon,121661683.0
Franka Potente,Moritz Bleibtreu,7267585.0
Fred MacMurray,Barbara Stanwyck,5720000.0
Gael García Bernal,Rodrigo De la Serna,16756372.0
Gary Cooper,Grace Kelly,9450000.0
Gary Oldman,Keri Russell,208545589.0
Gaspard Manesse,Raphael Fejtö,4542825.0
Gena Rowlands,James Garner,81001787.0
Gene Hackman,Gwyneth Paltrow,52364010.0
Gene Hackman,John Cazale,4420000.0
Gene Hackman,Roy Scheider,15630710.0
Gene Hackman,Willem Dafoe,34603943.0
Gene Kelly,Gene Kelly,8819028.0
Gene Wilder,Jack Albertson,4000000.0
Gene Wilder,Madeline Kahn,86300000.0
Geoffrey Rush,Armin Mueller-Stahl,35811509.0
Geoffrey Rush,Jim Sturgess,85433.0
George C. Scott,Karl Malden,61700000.0
George Clooney,Brad Pitt,183417150.0
George Clooney,Meryl Streep,21002919.0
George Cukor,Mervyn LeRoy,2076020.0
George Cukor,Sam Wood,198676459.0
Gerard Butler,Lena Headey,210614939.0
Gerardo Taracena,Raoul Max Trujillo,50866635.0
Glen Hansard,Markéta Irglová,9439923.0
Golshifteh Farahani,Shahab Hosseini,106662.0
Graham Chapman,John Cleese,20045115.0
Griffin Dunne,Rosanna Arquette,10600000.0
Guillaume Canet,Marion Cotillard,548707.0
Guy Pearce,Carrie-Anne Moss,25544867.0
Gérard Jugnot,François Berléand,3635164.0
Günes Sensoy,Doga Zeynep Doguslu,845464.0
Haluk Bilginer,Melisa Sözen,165520.0
Harrison Ford,Karen Allen,248159971.0
Harrison Ford,Rutger Hauer,32868943.0
Harrison Ford,Ryan Gosling,92054159.0
Harrison Ford,Sean Connery,197171806.0
Harrison Ford,Tommy Lee Jones,183875760.0
Harry Dean Stanton,Nastassja Kinski,2181987.0
Harvey Keitel,Tim Roth,2832029.0
Henry Fonda,Charles Bronson,5321508.0
Henry Fonda,Jane Darwell,55000.0
Henry Fonda,Lee J. Cobb,4360000.0
Henry Thomas,Drew Barrymore,435110554.0
Hideaki Anno,Hidetoshi Nishijima,5209580.0
Hilary Swank,Clint Eastwood,100492203.0
Hiromasa Yonebayashi,Sara Takatsuki,765127.0
Hitoshi Takagi,Noriko Hidaka,1105564.0
Hugh Jackman,Jake Gyllenhaal,61002302.0
Hugh Jackman,Patrick Stewart,226277068.0
Hugh Welchman,Douglas Booth,6735118.0
Hugo Weaving,Natalie Portman,70511035.0
Humphrey Bogart,Ingrid Bergman,1024560.0
Humphrey Bogart,Katharine Hepburn,536118.0
Humphrey Bogart,Mary Astor,2108060.0
Humphrey Bogart,Walter Huston,5014000.0
Hye-ja Kim,Won Bin,547292.0
Ian McKellen,Martin Freeman,258366855.0
Iko Uwais,Ananda George,4105123.0
Iko Uwais,Yayan Ruhian,2625803.0
Irrfan Khan,Nimrat Kaur,4231500.0
Irène Jacob,Jean-Louis Trintignant,4043686.0
Irène Jacob,Wladyslaw Kowalski,1999955.0
Isabella Rossellini,Kyle MacLachlan,8551228.0
Ivana Baquero,Ariadna Gil,37634615.0
J. Mackye Gruber,Ashton Kutcher,57938693.0
Jack Lemmon,Shirley MacLaine,18600000.0
Jack Lemmon,Walter Matthau,44527234.0
Jack Nicholson,Faye Dunaway,29000000.0
Jack Nicholson,Helen Hunt,148478011.0
Jack Nicholson,Louise Fletcher,112000000.0
Jack Nicholson,Shelley Duvall,44017374.0
Jackie Earle Haley,Patrick Wilson,107509799.0
Jacob Tremblay,Owen Wilson,132422809.0
Jake Gyllenhaal,Chris Cooper,32481825.0
Jake Gyllenhaal,Heath Ledger,83043761.0
Jake Gyllenhaal,Jena Malone,1480006.0
Jake Gyllenhaal,Michael Peña,41003371.0
Jake Gyllenhaal,Rene Russo,32381218.0
Jake Gyllenhaal,Robert Downey Jr.,33080084.0
James Caan,Kathy Bates,61276872.0
James McAvoy,Forest Whitaker,17605861.0
James McAvoy,Michael Fassbender,146408305.0
James Stewart,Grace Kelly,36764313.0
James Stewart,Jean Arthur,9600000.0
James Stewart,Kim Novak,3200000.0
James Stewart,Lee Remick,11900000.0
Jamie Bell,Julie Walters,21995263.0
Jamie Foxx,Christoph Waltz,162805434.0
Jamie Foxx,Regina King,75331600.0
Jan Pinkava,Brad Garrett,206445654.0
Jane Adams,Jon Lovitz,2807390.0
Jang Dong-Gun,Won Bin,1111061.0
Jared Gilman,Kara Hayward,45512466.0
Jared Leto,Sarah Polley,3600.0
Jason Flemyng,Dexter Fletcher,3897569.0
Jason London,Wiley Wiggins,7993039.0
Jason Schwartzman,Bill Murray,17105219.0
Jason Statham,Brad Pitt,30328156.0
Javier Bardem,Belén Rueda,2086345.0
Jay Baruchel,Cate Blanchett,177002924.0
Jean Dujardin,Bérénice Bejo,44671682.0
Jean Reno,Gary Oldman,19501238.0
Jean Servais,Carl Möhner,57226.0
Jean-Louis Trintignant,Emmanuelle Riva,6739492.0
Jean-Louis Trintignant,Stefania Sandrelli,541940.0
Jean-Pierre Jeunet,Marie-Laure Dougnac,1794187.0
Jeff Bridges,Mackenzie Foy,1339152.0
Jesse Eisenberg,Andrew Garfield,96962694.0
Jesse Eisenberg,Emma Stone,75590286.0
Jet Li,Li Sun,24633730.0
Jet Li,Tony Chiu-Wai Leung,53710019.0
Jim Carrey,Ed Harris,125618201.0
Jim Carrey,Kate Winslet,34400301.0
Jim Caviezel,Guy Pearce,54234062.0
Jim Caviezel,Sean Penn,36400491.0
Jim Henson,Frank Oz,76657000.0
Joaquin Phoenix,Amy Adams,25568251.0
Joaquin Phoenix,Reese Witherspoon,119519402.0
Joaquin Phoenix,Robert De Niro,335451311.0
Jodie Foster,Anthony Hopkins,130742922.0
Joe Pesci,Marisa Tomei,52929168.0
Joe Russo,Chris Evans,333925460.5
Joe Russo,Robert Downey Jr.,768594241.0
Joel Coen,Jeff Bridges,171243005.0
Joel Coen,Tommy Lee Jones,74283625.0
John Belushi,Dan Aykroyd,57229890.0
John C. Reilly,Jack McBrayer,189422889.0
John Cameron Mitchell,Miriam Shor,3029081.0
John Cho,Debra Messing,26020957.0
John Cusack,Cameron Diaz,22858926.0
John Lennon,Paul McCartney,13780024.0
John Lone,Joan Chen,43984230.0
John Musker,Don Hall,248757044.0
John Musker,Jodi Benson,111543479.0
John Musker,Scott Weinger,217350219.0
John Travolta,Uma Thurman,107928762.0
John Wayne,Dean Martin,12535000.0
Johnny Depp,Benicio Del Toro,10680275.0
Johnny Depp,Gary Farmer,1037847.0
Johnny Depp,Geoffrey Rush,305413918.0
Johnny Depp,Kate Winslet,51680613.0
Johnny Depp,Leonardo DiCaprio,9170214.0
Johnny Depp,Martin Landau,5887457.0
Johnny Depp,Penélope Cruz,52990775.0
Johnny Depp,Winona Ryder,56362352.0
Jon Voight,Burt Reynolds,7056013.0
Jonathan Pryce,Kim Greist,9929135.0
Joseph Gordon-Levitt,Seth Rogen,35014192.0
Josh Brolin,Miles Teller,18340051.0
Josh Hartnett,Ben Kingsley,22494487.0
Josh Hartnett,Ewan McGregor,108638745.0
Josh O'Connor,Alec Secareanu,335609.0
Jude Law,Ed Harris,51401758.0
Judi Dench,Steve Coogan,37707719.0
Julianne Moore,Clive Owen,35552383.0
Julie Andrews,Christopher Plummer,163214286.0
Julie Andrews,Dick Van Dyke,102272727.0
Juliette Binoche,Zbigniew Zamachowski,1324974.0
Jürgen Prochnow,Herbert Grönemeyer,11487676.0
Kang-ho Song,Kim Sang-kyung,14131.0
Kang-ho Song,Lee Sun-kyun,53367844.0
Kang-ho Song,Shin Ha-kyun,45289.0
Katharine Hepburn,Henry Fonda,119285432.0
Kathy Bates,Jessica Tandy,82418501.0
Keir Dullea,Gary Lockwood,56954992.0
Keira Knightley,James McAvoy,50927067.0
Keira Knightley,Matthew Macfadyen,38405088.0
Kelsey Asbille,Jeremy Renner,33800859.0
Ken Watanabe,Kazunari Ninomiya,13756082.0
Kevin Costner,Gary Oldman,70405498.0
Kevin Costner,Mary McDonnell,184208848.0
Kevin Costner,Sean Connery,76270454.0
Kevin Jarre,Kurt Russell,56505065.0
Kevin Spacey,Annette Bening,130096601.0
Kevin Spacey,Gabriel Byrne,23341568.0
Kevin Spacey,Russell Crowe,64616940.0
Ki-duk Kim,Yeong-su Oh,2380788.0
Kim Min-hee,Jung-woo Ha,2006788.0
Kirk Douglas,Jan Sterling,3969893.0
Kirk Douglas,Laurence Olivier,30000000.0
Kirk Wise,Paige O'Hara,218967620.0
Kurt Russell,Wilford Brimley,13782838.0
Kátia Lund,Alexandre Rodrigues,7563397.0
Kåre Hedebrant,Lina Leandersson,2122065.0
Lady Gaga,Bradley Cooper,215288866.0
Laura Obiols,Dave Johns,258168.0
Laura Obiols,Mathieu Amalric,5990075.0
Laurence Olivier,Joan Fontaine,4360000.0
Lee Byung-Hun,Choi Min-sik,128392.0
Lee Marvin,Ernest Borgnine,45300000.0
Lee Pace,Catinca Untaru,2280348.0
Lee Unkrich,Albert Brooks,380843261.0
Lembit Ulfsak,Elmo Nüganen,144501.0
Leonardo DiCaprio,Brad Pitt,142502728.0
Leonardo DiCaprio,Djimon Hounsou,57366262.0
Leonardo DiCaprio,Emily Mortimer,128012934.0
Leonardo DiCaprio,Jonah Hill,116900694.0
Leonardo DiCaprio,Joseph Gordon-Levitt,292576195.0
Leonardo DiCaprio,Kate Winslet,659325379.0
Leonardo DiCaprio,Matt Damon,132384315.0
Leonardo DiCaprio,Tom Hanks,164615351.0
